"index","group","input","target"
"78","date","public RenameAlbumRequest() {super(""CloudPhoto"", ""<DATE>"", ""RenameAlbum"", ""cloudphoto"");setProtocol(ProtocolType.HTTPS);}","public RenameAlbumRequest() {super(""CloudPhoto"", ""2017-07-11"", ""RenameAlbum"", ""cloudphoto"");setProtocol(ProtocolType.HTTPS);}"
"248","date","public UpdateRepoAuthorizationRequest() {super(""cr"", ""<DATE>"", ""UpdateRepoAuthorization"", ""cr"");setUriPattern(""/repos/[RepoNamespace]/[RepoName]/authorizations/[AuthorizeId]"");setMethod(MethodType.POST);}","public UpdateRepoAuthorizationRequest() {super(""cr"", ""2016-06-07"", ""UpdateRepoAuthorization"", ""cr"");setUriPattern(""/repos/[RepoNamespace]/[RepoName]/authorizations/[AuthorizeId]"");setMethod(MethodType.POST);}"
"338","date","public RevokeTokenRequest() {super(""OnsMqtt"", ""<DATE>"", ""RevokeToken"", ""onsmqtt"");setMethod(MethodType.POST);}","public RevokeTokenRequest() {super(""OnsMqtt"", ""2019-12-11"", ""RevokeToken"", ""onsmqtt"");setMethod(MethodType.POST);}"
"385","date","public ListEventsRequest() {super(""Status"", ""<DATE>"", ""ListEvents"", ""StatusAPI"");setMethod(MethodType.POST);}","public ListEventsRequest() {super(""Status"", ""2020-01-17"", ""ListEvents"", ""StatusAPI"");setMethod(MethodType.POST);}"
"391","date","public QueryCustomerByPhoneRequest() {super(""xspace"", ""<DATE>"", ""QueryCustomerByPhone"");setUriPattern(""/customerbyphone"");setMethod(MethodType.POST);}","public QueryCustomerByPhoneRequest() {super(""xspace"", ""2017-07-20"", ""QueryCustomerByPhone"");setUriPattern(""/customerbyphone"");setMethod(MethodType.POST);}"
"497","date","public RebootInstanceRequest() {super(""HPC"", ""<DATE>"", ""RebootInstance"", ""hpc"");setMethod(MethodType.POST);}","public RebootInstanceRequest() {super(""HPC"", ""2016-06-03"", ""RebootInstance"", ""hpc"");setMethod(MethodType.POST);}"
"518","date","public AddImageRequest() {super(""ImageSearch"", ""<DATE>"", ""AddImage"", ""imagesearch"");setUriPattern(""/v2/image/add"");setMethod(MethodType.POST);}","public AddImageRequest() {super(""ImageSearch"", ""2019-03-25"", ""AddImage"", ""imagesearch"");setUriPattern(""/v2/image/add"");setMethod(MethodType.POST);}"
"608","date","public InvokeServiceAsyncRequest() {super(""industry-brain"", ""<DATE>"", ""InvokeServiceAsync"");setMethod(MethodType.POST);}","public InvokeServiceAsyncRequest() {super(""industry-brain"", ""2018-07-12"", ""InvokeServiceAsync"");setMethod(MethodType.POST);}"
"688","date","public SearchFaceRequest() {super(""LinkFace"", ""<DATE>"", ""SearchFace"");setProtocol(ProtocolType.HTTPS);setMethod(MethodType.POST);}","public SearchFaceRequest() {super(""LinkFace"", ""2018-07-20"", ""SearchFace"");setProtocol(ProtocolType.HTTPS);setMethod(MethodType.POST);}"
"737","date","public Request<GetPolicyRequest> marshall(GetPolicyRequest getPolicyRequest) {if (getPolicyRequest == null) {throw new SdkClientException(""Invalid argument passed to marshall(...)"");}Request<GetPolicyRequest> request = new DefaultRequest<GetPolicyRequest>(getPolicyRequest, ""AmazonIdentityManagement"");request.addParameter(""Action"", ""GetPolicy"");request.addParameter(""Version"", ""<DATE>"");request.setHttpMethod(HttpMethodName.POST);if (getPolicyRequest.getPolicyArn() != null) {request.addParameter(""PolicyArn"", StringUtils.fromString(getPolicyRequest.getPolicyArn()));}return request;}","public Request<GetPolicyRequest> marshall(GetPolicyRequest getPolicyRequest) {if (getPolicyRequest == null) {throw new SdkClientException(""Invalid argument passed to marshall(...)"");}Request<GetPolicyRequest> request = new DefaultRequest<GetPolicyRequest>(getPolicyRequest, ""AmazonIdentityManagement"");request.addParameter(""Action"", ""GetPolicy"");request.addParameter(""Version"", ""2010-05-08"");request.setHttpMethod(HttpMethodName.POST);if (getPolicyRequest.getPolicyArn() != null) {request.addParameter(""PolicyArn"", StringUtils.fromString(getPolicyRequest.getPolicyArn()));}return request;}"
"769","date","public MopenCreateGroupRequest() {super(""MoPen"", ""<DATE>"", ""MopenCreateGroup"", ""mopen"");setProtocol(ProtocolType.HTTPS);setMethod(MethodType.POST);}","public MopenCreateGroupRequest() {super(""MoPen"", ""2018-02-11"", ""MopenCreateGroup"", ""mopen"");setProtocol(ProtocolType.HTTPS);setMethod(MethodType.POST);}"
"1292","date","public SaveTaskForSubmittingDomainRealNameVerificationByIdentityCredentialRequest() {super(""Domain"", ""<DATE>"", ""SaveTaskForSubmittingDomainRealNameVerificationByIdentityCredential"");setMethod(MethodType.POST);}","public SaveTaskForSubmittingDomainRealNameVerificationByIdentityCredentialRequest() {super(""Domain"", ""2018-01-29"", ""SaveTaskForSubmittingDomainRealNameVerificationByIdentityCredential"");setMethod(MethodType.POST);}"
"1621","date","public SubmitCutoutTaskRequest() {super(""lubancloud"", ""<DATE>"", ""SubmitCutoutTask"", ""luban"");setMethod(MethodType.POST);}","public SubmitCutoutTaskRequest() {super(""lubancloud"", ""2018-05-09"", ""SubmitCutoutTask"", ""luban"");setMethod(MethodType.POST);}"
"1801","date","public PredictCategoryRequest() {super(""visionai-poc"", ""<DATE>"", ""PredictCategory"");setMethod(MethodType.POST);}","public PredictCategoryRequest() {super(""visionai-poc"", ""2020-04-08"", ""PredictCategory"");setMethod(MethodType.POST);}"
"2382","date","public TranslateTextRequest() {super(""hiknoengine"", ""<DATE>"", ""TranslateText"", ""hiknoengine"");setMethod(MethodType.POST);}","public TranslateTextRequest() {super(""hiknoengine"", ""2019-06-25"", ""TranslateText"", ""hiknoengine"");setMethod(MethodType.POST);}"
"2854","date","public BindInstance2VpcRequest() {super(""Ots"", ""<DATE>"", ""BindInstance2Vpc"", ""ots"");setMethod(MethodType.POST);}","public BindInstance2VpcRequest() {super(""Ots"", ""2016-06-20"", ""BindInstance2Vpc"", ""ots"");setMethod(MethodType.POST);}"
